subject_id,age,ethnicity_group,face_height_mm,face_width_mm,facial_index,head_length_mm,head_breadth_mm,cephalic_index,interpupillary_distance_mm,ear_width_mm,ear_length_mm,ear_anchor_offset_x_mm,ear_anchor_offset_y_mm,nose_width_mm,jaw_width_mm,neck_length_mm,neck_width_mm,face_shape,skin_tone_fitzpatrick
S0001,23,Indo-Nepalese,118.1,122.0,96.8,183.3,143.7,78.4,56.2,29.8,57.4,8.5,12.84,35.8,104.9,94.2,97.7,Diamond,Type_V
S0002,18,Indigenous-Nepalese,114.5,116.2,98.54,180.9,146.4,80.93,65.6,32.6,57.3,6.49,13.41,31.8,99.1,102.8,104.2,Round,Type_IV
S0003,19,Indigenous-Nepalese,108.6,121.6,89.31,176.0,135.2,76.82,56.8,31.5,48.2,8.58,13.12,36.2,108.5,106.8,113.9,Heart,Type_IV
S0004,25,Tibeto-Nepalese,115.3,127.3,90.57,180.3,139.9,77.59,61.9,30.6,67.5,5.29,16.17,37.5,113.0,98.4,107.2,Square,Type_V
S0005,23,Indigenous-Nepalese,115.9,109.7,105.65,184.8,149.2,80.74,61.1,32.6,56.6,8.77,13.14,37.6,93.9,87.6,94.1,Square,Type_III
S0006,25,Tibeto-Nepalese,117.0,107.7,108.64,185.0,159.8,86.38,63.4,29.8,52.3,6.12,16.31,37.0,95.4,80.2,94.9,Heart,Type_V
S0007,22,Indigenous-Nepalese,119.5,117.5,101.7,195.1,143.0,73.3,62.9,32.5,55.3,8.87,11.61,35.2,102.2,95.7,100.8,Oblong,Type_IV
S0008,20,Indigenous-Nepalese,127.5,127.7,99.84,168.7,130,77.06,58.0,29.0,62.0,9.73,13.19,33.0,109.7,88.2,115.0,Heart,Type_III
S0009,21,Indo-Nepalese,117.1,132.6,88.31,189.3,158.0,83.47,65.3,37.4,51.9,7.33,13.48,34.5,116.4,102.0,111.0,Oblong,Type_IV
S0010,25,Indo-Nepalese,121.2,109.1,111.09,187.4,158.4,84.53,61.2,28.6,52.8,8.0,11.04,31.5,95.6,89.9,97.2,Oblong,Type_IV
S0011,20,Indigenous-Nepalese,116.4,122.2,95.25,162.9,130,79.8,65.0,29.6,56.9,9.14,15.54,38.3,100.1,92.3,100.7,Round,Type_III
S0012,24,Indigenous-Nepalese,118.9,129.0,92.17,177.6,130.6,73.54,62.3,38.9,59.9,7.22,14.2,33.4,110.0,99.3,105.6,Square,Type_IV
S0013,19,Indo-Nepalese,122.1,131.2,93.06,177.8,149.2,83.91,66.3,34.6,68,8.03,12.56,37.7,115.2,91.7,111.9,Round,Type_IV
S0014,20,Tibeto-Nepalese,119.2,132.1,90.23,175.9,146.6,83.34,54.6,33.0,64.4,9.82,13.05,35.6,116.7,104.5,127.3,Diamond,Type_III
S0015,25,Indigenous-Nepalese,116.0,128.3,90.41,180.6,144.0,79.73,63.6,30.2,65.5,9.2,17.39,40.0,114.3,109.4,119.7,Oblong,Type_III
S0016,23,Tibeto-Nepalese,105.2,125.0,84.16,178.3,153.5,86.09,63.9,36.2,54.9,8.58,12.01,37.1,101.9,97.9,105.7,Oblong,Type_III
S0017,25,Indo-Nepalese,109.0,113.3,96.2,184.3,150.7,81.77,60.6,29.4,58.1,8.69,11.97,34.4,99.7,79.7,104.1,Oval,Type_III
S0018,25,Indigenous-Nepalese,130.8,125.8,103.97,184.6,153.7,83.26,63.1,36.9,57.9,8.3,15.38,31.0,109.1,89.3,111.1,Oblong,Type_IV
S0019,21,Tibeto-Nepalese,119.8,126.7,94.55,179.5,144.6,80.56,62.1,34.7,55.8,6.16,14.83,34.3,109.0,84.2,116.8,Heart,Type_III
S0020,19,Tibeto-Nepalese,121.2,137.0,88.47,179.2,140.8,78.57,60.5,34.1,50.5,6.97,15.07,34.5,120.6,90.5,126.3,Heart,Type_IV
S0021,18,Tibeto-Nepalese,124.4,118.5,104.98,179.5,143.4,79.89,67.1,31.1,57.2,7.9,13.95,35.6,103.6,89.1,108.7,Diamond,Type_IV
S0022,24,Indo-Nepalese,109.9,130.1,84.47,180.1,137.7,76.46,62.2,33.8,68,9.04,17.49,35.0,113.9,99.9,118.0,Oblong,Type_III
S0023,19,Tibeto-Nepalese,112.1,129.7,86.43,177.3,149.5,84.32,64.3,33.6,64.2,9.07,14.06,36.1,113.5,97.0,116.9,Square,Type_V
S0024,21,Tibeto-Nepalese,108.4,130.6,83.0,185.5,146.7,79.08,67.5,35.5,61.0,9.41,14.25,37.7,113.0,95.2,120.2,Diamond,Type_V
S0025,24,Indigenous-Nepalese,115.9,108.8,106.53,175.5,145.6,82.96,58.4,26,48,9.89,13.31,31.9,92.2,98.9,95.9,Oval,Type_V
S0026,22,Tibeto-Nepalese,118.5,125.4,94.5,184.5,155.7,84.39,56.9,32.4,55.8,8.05,15.5,33.8,109.7,89.5,113.0,Square,Type_V
S0027,23,Indo-Nepalese,121.5,140.2,86.66,182.9,150.9,82.5,61.8,38.3,64.4,9.72,14.04,39.0,128.5,102.5,135,Heart,Type_III
S0028,22,Tibeto-Nepalese,115.9,132.4,87.54,179.9,157.5,87.55,60.7,38.4,68,8.34,11.63,35.4,108.9,88.9,111.2,Oblong,Type_V
